n,X,Y,PopEq,ARA-Nr,ARA-Name
1,722100,256700,28167,342500,WIL
2,722700,256500,6250,340500,JONSCHWIL/SCHWARZENBACH
3,723550,252850,50783,339200,KIRCHBERG/BAZENHEID
4,726182,258000,7883,342600,ZUZWIL
5,728300,257000,19000,340802,UZWIL
6,729947,257747,3750,342400,OBERBUEREN
7,733300,259400,10250,342200,NIEDERBUEREN
8,733125,252975,24333,340200,FLAWIL
9,735720,250750,250,300103,HERISAU (SCHWAENBERG)
10,737780,250800,33333,300102,HERISAU (BACHWIS)
11,723650,249700,1183,339302,LUETISBURG (GONZENBACH)
12,724070,249100,2383,340301,GANTERSCHWIL
13,723960,247125,5833,339100,BUETSCHWIL
14,727650,246400,4500,340603,MOGELSBERG/NECKER
15,724220,243220,5500,337400,LICHTENSTEIG
16,724230,241825,28000,337700,WATTWIL
17,734000,242800,2750,337600,ST. PETERZELL/WALD-SCH.
18,732050,240300,1133,337200,HEMBERG
19,726300,237400,8500,335200,EBNAT-KAPPEL
20,732600,232000,6000,335400,KRUMMENAU/NESSLAU
21,735500,229420,11917,335601,CHURFIRSTEIN (STEIN)
